_id,load_ts,time,user
63e3a485beec03b2566fd8a1,2023-02-08T13:32:53.865Z,01:58,George Sheen
63e41746baebc0056094dbb0,2023-02-08T21:42:30.825Z,05:38,Sazzle
63e41f66baebc0056094dbb3,2023-02-08T22:17:10.558Z,06:00,Harvey Williams
63e4c843baebc0056094dbb7,2023-02-09T10:17:39.846Z,02:33,George Sheen
63e4c951beec03b2566fd8a8,2023-02-09T10:22:09.769Z,01:33,Joe
63e4d17ebeec03b2566fd8ae,2023-02-09T10:57:02.566Z,16:11,Harvey Williams
63e4d19abaebc0056094dbbe,2023-02-09T10:57:30.688Z,03:28,Oliver Folkard
63e4dd7dbaebc0056094dbc2,2023-02-09T11:48:13.813Z,01:57,Tom
63e60fd3baebc0056094dbc7,2023-02-10T09:35:15.546Z,00:25,Joe
63e615aabeec03b2566fd8b7,2023-02-10T10:00:10.577Z,01:24,Tom
63e619f8baebc0056094dbce,2023-02-10T10:18:32.952Z,01:10,Harvey Williams
63e7a3a6beec03b2566fd8bc,2023-02-11T14:18:14.884Z,00:33,Joe
63e7ab70beec03b2566fd8c2,2023-02-11T14:51:28.856Z,01:29,Harvey Williams
63e7f18fbaebc0056094dbd3,2023-02-11T19:50:39.135Z,01:00,Oliver Folkard
63e8e523baebc0056094dbd7,2023-02-12T13:09:55.819Z,05:09,Tom
63e8fed6beec03b2566fd8c6,2023-02-12T14:59:34.649Z,07:14,Sazzle
63e93818beec03b2566fd8cb,2023-02-12T19:03:52.493Z,03:21,Harvey Williams
63e95f34baebc0056094dbde,2023-02-12T21:50:44.429Z,01:12,Oliver Folkard
63e964f7baebc0056094dbe3,2023-02-12T22:15:19.757Z,04:01,Joe
63ea271dbeec03b2566fd8d1,2023-02-13T12:03:41.027Z,00:59,Joe
63ea2bd4baebc0056094dbe8,2023-02-13T12:23:48.739Z,02:05,Harvey Williams
63ea2cbdbaebc0056094dbeb,2023-02-13T12:27:41.887Z,00:54,Tom
63ea3977baebc0056094dbf0,2023-02-13T13:21:59.620Z,00:49,Oliver Folkard
63ea72a1beec03b2566fd8db,2023-02-13T17:25:53.540Z,00:48,George Sheen
63eac1e8beec03b2566fd8dd,2023-02-13T23:04:08.053Z,05:24,Sazzle
63ead121baebc0056094dbf9,2023-02-14T00:09:05.372Z,06:03,Tom
63eadfdebaebc0056094dbfe,2023-02-14T01:11:58.881Z,11:01,Harvey Williams
63eadfe3beec03b2566fd8e0,2023-02-14T01:12:03.578Z,03:31,Oliver Folkard
63eafd83baebc0056094dc02,2023-02-14T03:18:27.731Z,01:37,George Sheen
63eb524dbeec03b2566fd8e7,2023-02-14T09:20:13.527Z,03:21,Joe
63ec2003baebc0056094dc06,2023-02-14T23:57:55.200Z,11:11,Sazzle
63ec22c1beec03b2566fd8ee,2023-02-15T00:09:37.825Z,03:24,Tom
63ec2d62beec03b2566fd8f2,2023-02-15T00:54:58.882Z,00:48,Harvey Williams
63ec7978baebc0056094dc0c,2023-02-15T06:19:36.431Z,01:56,George Sheen
63eca808baebc0056094dc0e,2023-02-15T09:38:16.222Z,00:54,Joe
63ecf53cbeec03b2566fd8f9,2023-02-15T15:07:40.482Z,01:10,Oliver Folkard
63ed5f6abaebc0056094dc15,2023-02-15T22:40:42.041Z,03:19,Sazzle
63edeabdbaebc0056094dc19,2023-02-16T08:35:09.037Z,03:23,Joe
63edf2dbbeec03b2566fd8fe,2023-02-16T09:09:47.529Z,04:29,Tom
63ee5266baebc0056094dc1f,2023-02-16T15:57:26.173Z,02:00,Harvey Williams
63ee5981baebc0056094dc21,2023-02-16T16:27:45.576Z,00:53,George Sheen
63ef5f2abeec03b2566fd905,2023-02-17T11:04:10.520Z,01:37,Joe
63ef6544beec03b2566fd90a,2023-02-17T11:30:12.575Z,01:49,Tom
63ef87a1baebc0056094dc2a,2023-02-17T13:56:49.561Z,01:05,Oliver Folkard
63ef9fb2beec03b2566fd90f,2023-02-17T15:39:30.767Z,00:58,George Sheen
63efa17abaebc0056094dc2e,2023-02-17T15:47:06.582Z,03:55,Harvey Williams
63efbb9fbeec03b2566fd912,2023-02-17T17:38:39.217Z,05:37,Sazzle
63f091fabaebc0056094dc34,2023-02-18T08:53:14.718Z,02:35,Tom
63f093dcbeec03b2566fd915,2023-02-18T09:01:16.332Z,02:21,Joe
63f0951abeec03b2566fd919,2023-02-18T09:06:34.416Z,13:21,Sazzle
63f0e710baebc0056094dc3a,2023-02-18T14:56:16.292Z,01:01,George Sheen
63f0e7e0baebc0056094dc3e,2023-02-18T14:59:44.148Z,04:22,Harvey Williams
63f21940beec03b2566fd91f,2023-02-19T12:42:40.029Z,02:23,Tom
63f21de7baebc0056094dc41,2023-02-19T13:02:31.179Z,01:29,Joe
63f22999beec03b2566fd926,2023-02-19T13:52:25.803Z,01:21,Harvey Williams
63f22b72baebc0056094dc45,2023-02-19T14:00:18.862Z,07:43,George Sheen
63f22cf9baebc0056094dc49,2023-02-19T14:06:49.556Z,10:07,Sazzle
63f23782baebc0056094dc4c,2023-02-19T14:51:46.154Z,01:26,Oliver Folkard
63f33e90baebc0056094dc51,2023-02-20T09:34:08.898Z,01:38,Tom
63f34ac8beec03b2566fd92f,2023-02-20T10:26:16.488Z,01:17,Joe
63f35117beec03b2566fd932,2023-02-20T10:53:11.077Z,00:47,George Sheen
63f3513abaebc0056094dc58,2023-02-20T10:53:46.132Z,01:26,Harvey Williams
63f3718dbaebc0056094dc5e,2023-02-20T13:11:41.055Z,01:12,Oliver Folkard
63f3bb11baebc0056094dc61,2023-02-20T18:25:21.171Z,03:49,Sazzle
63f48fd5beec03b2566fd93a,2023-02-21T09:33:09.880Z,01:19,Joe
63f4908dbaebc0056094dc63,2023-02-21T09:36:13.325Z,02:19,Harvey Williams
63f494dabeec03b2566fd940,2023-02-21T09:54:34.084Z,04:44,Tom
63f4a07fbaebc0056094dc69,2023-02-21T10:44:15.448Z,01:44,George Sheen
63f4c492baebc0056094dc6b,2023-02-21T13:18:10.363Z,01:05,Oliver Folkard
63f54672beec03b2566fd947,2023-02-21T22:32:18.677Z,06:11,Sazzle
63f5f15fbeec03b2566fd94b,2023-02-22T10:41:35.412Z,02:14,Joe
63f5fe0ebaebc0056094dc70,2023-02-22T11:35:42.618Z,03:38,Tom
63f60f50baebc0056094dc75,2023-02-22T12:49:20.647Z,00:55,George Sheen
63f6890bbeec03b2566fd953,2023-02-22T21:28:43.884Z,03:28,Sazzle
63f68919beec03b2566fd957,2023-02-22T21:28:57.867Z,00:30,Oliver Folkard
63f6aeb0baebc0056094dc78,2023-02-23T00:09:20.857Z,02:16,George Sheen
63f71723beec03b2566fd95d,2023-02-23T07:34:59.959Z,05:16,Tom
63f7d6f7baebc0056094dc7f,2023-02-23T21:13:27.626Z,04:46,Joe
63f7d81bbaebc0056094dc84,2023-02-23T21:18:19.254Z,39:50,Harvey Williams
63f7db30baebc0056094dc87,2023-02-23T21:31:28.147Z,03:29,Oliver Folkard
63f885a4beec03b2566fd964,2023-02-24T09:38:44.784Z,01:06,Joe
63f88742baebc0056094dc8e,2023-02-24T09:45:38.971Z,04:48,Harvey Williams
63f8b1e1baebc0056094dc91,2023-02-24T12:47:29.429Z,01:31,George Sheen
63f8b87dbeec03b2566fd969,2023-02-24T13:15:41.259Z,01:07,Oliver Folkard
63f903f6beec03b2566fd96c,2023-02-24T18:37:42.404Z,07:23,Tom
63f93a2cbeec03b2566fd971,2023-02-24T22:29:00.964Z,11:36,Sazzle
63f9c601beec03b2566fd974,2023-02-25T08:25:37.429Z,01:35,Joe
63f9d155baebc0056094dc9b,2023-02-25T09:13:57.336Z,13:29,Tom
63f9f960baebc0056094dc9e,2023-02-25T12:04:48.656Z,01:32,George Sheen
63f9fbe5baebc0056094dca1,2023-02-25T12:15:33.627Z,05:58,Harvey Williams
63fa643f0e05a672f8a34d3f,2023-02-25T19:40:47.261Z,13:37,Sazzle
63fa93b22e23ec471aede754,2023-02-25T23:03:14.519Z,02:33,Oliver Folkard
63fac9d00e05a672f8a34d44,2023-02-26T02:54:08.036Z,01:23,Harvey Williams
63fb20062e23ec471aede75a,2023-02-26T09:01:58.207Z,03:28,Tom
63fb28050e05a672f8a34d49,2023-02-26T09:36:05.666Z,01:01,Joe
63fb37c60e05a672f8a34d4d,2023-02-26T10:43:18.154Z,01:58,George Sheen
63fb3fe02e23ec471aede762,2023-02-26T11:17:52.411Z,07:34,Sazzle
63fb5c1a2e23ec471aede767,2023-02-26T13:18:18.789Z,00:45,Oliver Folkard
