load_ts,user,time
2022-11-23 01:52:00.000,Floralnomad,00:00:49
2022-11-23 06:43:00.000,Hepzibar,00:02:30
2022-11-23 07:08:00.000,JoyDivisionOvenGlovesx,00:00:50
2022-11-23 07:10:00.000,oviraptor21,00:01:28
2022-11-23 07:14:00.000,DadDadDad,00:01:55
2022-11-23 08:38:00.000,Readytostartagain,00:01:16
2022-11-23 12:47:00.000,Swissnotswiss,00:01:25
2022-11-23 16:39:00.000,hoochyhag,00:10:17
2022-11-23 18:03:00.000,MarmiteWine,00:01:11
2022-11-23 19:16:00.000,Sunbird24,00:00:48
2022-11-23 23:53:00.000,AngeloMysterioso,00:01:51
2022-11-24 00:11:00.000,LikeTearsInRain,00:03:29
2022-11-24 00:54:00.000,Floralnomad,00:01:05
2022-11-24 03:53:00.000,Sunbird24,00:00:55
2022-11-24 06:23:00.000,Hepzibar,00:03:08
2022-11-24 07:04:00.000,oviraptor21,00:01:26
2022-11-24 07:11:00.000,DadDadDad,00:01:46
2022-11-24 07:49:00.000,UmbilicusProfundus,00:01:23
2022-11-24 08:24:00.000,Drywhitefruitycidergin,00:01:01
2022-11-24 08:38:00.000,JoyDivisionOvenGlovesx,00:00:49
2022-11-24 08:57:00.000,Readytostartagain,00:00:40
2022-11-24 18:27:00.000,BrilliantGreenFlamingo,00:03:02
2022-11-24 18:33:00.000,MarmiteWine,00:00:58
2022-11-25 04:34:00.000,Sunbird24,00:00:56
2022-11-25 06:05:00.000,JoyDivisionOvenGlovesx,00:01:02
2022-11-25 06:16:00.000,Swissnotswiss,00:02:17
2022-11-25 06:41:00.000,Hepzibar,00:02:41
2022-11-25 07:01:00.000,oviraptor21,00:01:04
2022-11-25 07:27:00.000,DadDadDad,00:04:34
2022-11-25 08:14:00.000,Readytostartagain,00:03:05
2022-11-25 08:51:00.000,Drywhitefruitycidergin,00:02:19
2022-11-25 10:19:00.000,BrilliantGreenFlamingo,00:02:28
2022-11-25 10:42:00.000,Floralnomad,00:01:36
2022-11-25 13:59:00.000,AngeloMysterioso,00:01:07
2022-11-25 16:43:00.000,hoochyhag,00:13:36
2022-11-25 20:04:00.000,UmbilicusProfundus,00:00:52
2022-11-25 20:47:00.000,LikeTearsInRain,00:02:10
2022-11-25 20:49:00.000,MarmiteWine,00:01:44
2022-11-26 00:23:00.000,Sunbird24,00:00:37
2022-11-26 00:26:00.000,Drywhitefruitycidergin,00:01:44
2022-11-26 00:56:00.000,Floralnomad,00:01:44
2022-11-26 04:20:00.000,JoyDivisionOvenGlovesx,00:00:46
2022-11-26 05:56:00.000,UmbilicusProfundus,00:01:16
2022-11-26 06:53:00.000,Hepzibar,00:02:19
2022-11-26 07:33:00.000,DadDadDad,00:02:20
2022-11-26 08:06:00.000,Swissnotswiss,00:01:17
2022-11-26 08:14:00.000,Readytostartagain,00:01:45
2022-11-26 09:07:00.000,oviraptor21,00:01:24
2022-11-26 15:09:00.000,hoochyhag,00:05:34
2022-11-26 20:18:00.000,MarmiteWine,00:00:49
2022-11-27 00:31:00.000,LikeTearsInRain,00:02:05
2022-11-27 01:38:00.000,Floralnomad,00:01:38
2022-11-27 08:36:00.000,oviraptor21,00:01:00
2022-11-27 08:43:00.000,Readytostartagain,00:02:05
2022-11-27 09:36:00.000,DadDadDad,00:01:22
2022-11-27 09:51:00.000,Sunbird24,00:00:43
2022-11-27 10:11:00.000,AngeloMysterioso,00:04:10
2022-11-27 10:36:00.000,MarmiteWine,00:01:09
2022-11-27 11:21:00.000,Swissnotswiss,00:01:22
2022-11-27 16:11:00.000,Hepzibar,00:01:23
2022-11-27 16:13:00.000,hoochyhag,00:06:34
2022-11-28 00:15:00.000,Drywhitefruitycidergin,00:02:14
2022-11-28 00:35:00.000,Floralnomad,00:02:00
2022-11-28 00:40:00.000,Sunbird24,00:01:08
2022-11-28 06:39:00.000,Hepzibar,00:02:13
2022-11-28 07:17:00.000,DadDadDad,00:01:44
2022-11-28 08:31:00.000,oviraptor21,00:00:40
2022-11-28 08:40:00.000,JoyDivisionOvenGlovesx,00:01:00
2022-11-28 15:55:00.000,BrilliantGreenFlamingo,00:11:44
2022-11-28 17:27:00.000,hoochyhag,00:14:18
2022-11-28 22:20:00.000,MarmiteWine,00:01:51
2022-11-29 00:26:00.000,Drywhitefruitycidergin,00:02:13
2022-11-29 01:03:00.000,Sunbird24,00:00:47
2022-11-29 06:07:00.000,Hepzibar,00:01:44
2022-11-29 06:07:00.000,JoyDivisionOvenGlovesx,00:00:39
2022-11-29 07:18:00.000,DadDadDad,00:02:40
2022-11-29 07:29:00.000,oviraptor21,00:01:58
2022-11-29 08:08:00.000,Readytostartagain,00:02:40
2022-11-29 09:02:00.000,sanityisamyth,00:08:08
2022-11-29 11:48:00.000,BrilliantGreenFlamingo,00:02:17
2022-11-29 14:49:00.000,Welshwabbit,00:01:19
2022-11-29 14:56:00.000,Floralnomad,00:01:20
2022-11-29 16:22:00.000,MarmiteWine,00:01:00
2022-11-29 19:58:00.000,UmbilicusProfundus,00:00:58
2022-11-30 00:12:00.000,Sunbird24,00:01:35
2022-11-30 06:17:00.000,Hepzibar,00:02:07
2022-11-30 07:25:00.000,JoyDivisionOvenGlovesx,00:01:49
2022-11-30 07:39:00.000,DadDadDad,00:06:40
2022-11-30 07:58:00.000,oviraptor21,00:05:10
2022-11-30 08:04:00.000,Stokey,00:07:52
2022-11-30 08:20:00.000,Readytostartagain,00:04:31
2022-11-30 10:41:00.000,Floralnomad,00:01:57
2022-11-30 11:30:00.000,Drywhitefruitycidergin,00:11:30
2022-11-30 12:52:00.000,Swissnotswiss,00:02:14
2022-11-30 17:09:00.000,MarmiteWine,00:01:49
2022-11-30 23:52:00.000,UmbilicusProfundus,00:02:06
2022-12-01 00:31:00.000,FaazoHuyzeoSix,00:01:49
2022-12-01 01:23:00.000,Floralnomad,00:01:55
2022-12-01 06:19:00.000,Hepzibar,00:02:28
2022-12-01 07:07:00.000,Sunbird24,00:00:52
2022-12-01 07:18:00.000,oviraptor21,00:01:24
2022-12-01 07:20:00.000,JoyDivisionOvenGlovesx,00:00:59
2022-12-01 07:22:00.000,DadDadDad,00:03:32
2022-12-01 08:03:00.000,UmbilicusProfundus,00:01:29
2022-12-01 08:52:00.000,Stokey,00:02:12
2022-12-01 09:08:00.000,MarmiteWine,00:00:59
